room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude
Entire home/apt,Amsterdam,Buitenveldert / Zuidas,8,4.5,4,2,180,Absolutely fabulous,52.324397,4.866871
Entire home/apt,Amsterdam,De Baarsjes / Oud West,1,0,4,1,184,Cozy Aparment in Centrum Amsterdam The Best,52.364351,4.864372
Entire home/apt,Amsterdam,Westerpark,9,5,2,1,168,Light & Modern Amsterdam Apartment,52.381631,4.86808
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4.5,3,1,150,Appt.ment at park 10min from centre,52.359368,4.943298
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0,3,1,162,Beautiful spacious apartment near city center,52.343227,4.901935
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,4,4.5,4,2,150,Houseboat Amsterdam,52.352703,4.90859
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,9,5,4,2,145,Light and spacious family house,52.351876,5.006576
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0,4,2,150,Modern and spacious apartment at IJburg,52.349957,5.007643
Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0,2,1,150,Beautiful modern apartment with balcony in West,52.364619,4.859753
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,0,0,2,1,162,Luxury apartment near city center,52.371282,4.93478
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,4,4.5,7,5,168,Lovely modern family house with private parking,52.35217,4.999629
Entire home/apt,Amsterdam,Centrum West,23,4.5,2,0,177,Light & peaceful canal view apartment,52.376118,4.884034
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0,5,3,168,Verblijf op een rustige plek in Amsterdam!,52.358012,4.996575
Entire home/apt,Amsterdam,Noord Oost,11,4.5,6,3,168,*Beautiful *lakeside*family-house,52.414304,5.027689
Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0,4,2,133,Beautiful apartment near vondelpark,52.359734,4.857653
Entire home/apt,Amsterdam,Buitenveldert / Zuidas,1,0,4,2,141,High class apartment Amsterdam south,52.329131,4.858853
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0,2,0,143,"Bright,Cozy & Central studio apartment in the Pijp",52.351817,4.888928
Entire home/apt,Amsterdam,De Baarsjes / Oud West,80,5,2,1,144,"Cosy, near city center, parks, WIFI",52.367791,4.850668
Entire home/apt,Amsterdam,Westerpark,0,0,3,0,144,Cozy studio in Jordaan,52.379486,4.872854
Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0,3,1,144,Good place  to stay,52.369768,4.848639
Entire home/apt,Amsterdam,Westerpark,8,5,2,1,137,Great apartment in Beautiful quite Westerpark Area,52.384346,4.871207
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,2,1,144,NEW Lovely private apartment in trendy De Pijp,52.355087,4.888014
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,11,5,3,1,132,Cosy & light apartment eastside!,52.361715,4.932953
Entire home/apt,Amsterdam,Watergraafsmeer,0,0,4,1,143,"Sunlit, spacious apartment in a hip, popular area.",52.356427,4.935222
Entire home/apt,Amsterdam,Oud Oost,0,0,3,1,144,Cozy apartment in Amsterdam-East with garden,52.357705,4.925599
Entire home/apt,Amsterdam,Centrum West,0,0,2,1,144,Stylish apt. at the famous Jordaan District | 2P,52.377742,4.880498
Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0,2,2,144,Stylish canal house in trendy West,52.36163,4.858436
Entire home/apt,Amsterdam,Centrum Oost,59,5,2,0,108,Central & spacious design loft in museum district,52.359513,4.891166
Entire home/apt,Amsterdam,Oud Oost,8,5,2,1,112,Quiet apt next to Amstel River,52.356872,4.909359
Entire home/apt,Amsterdam,Bijlmer Oost,5,4,5,0,119,"Amsterdam Studio, Parking Free!",52.323668,4.959913
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,2,2,107,charming house with a private garde,52.341604,4.902708
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,5,4,1,124,Spacious 2 floor app. + roofterrace,52.36451,4.941742
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,4.5,4,2,108,Comfortable 2BD apartment close to Flevopark | 4P,52.359705,4.940978
Entire home/apt,Amsterdam,Bos en Lommer,0,0,2,1,107,Cosy apartment near the centre,52.385033,4.855485
Entire home/apt,Amsterdam,Centrum West,32,5,2,1,119,"Beautiful, big & cosy Jordaan appt!",52.378978,4.881797
Entire home/apt,Amsterdam,Bos en Lommer,0,0,2,1,113,Leuke knusse woning Amsterdam,52.37457,4.847776
Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0,2,1,107,"Gorgeous and spacious apartment, close to centre.",52.375031,4.833993
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,2,1,118,Groundfloor apt with large garden close to RAI,52.346127,4.908695
Entire home/apt,Amsterdam,Westerpark,1,0,2,1,119,Spacious apartment with spectacular garden,52.38121,4.871347
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,2,0,114,Bohemian Home,52.355555,4.893462
Entire home/apt,Amsterdam,Oud Noord,0,0,4,2,119,Great spacious water front loft,52.386637,4.930523
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0,2,1,84,Small private house with garden 2P,52.345148,4.846525
Entire home/apt,Amsterdam,Watergraafsmeer,16,4.5,2,1,96,Garden appartement including bikes!,52.350376,4.922197
Entire home/apt,Amsterdam,De Baarsjes / Oud West,17,4,2,1,87,Amsterdam 1 bedroom apartment,52.364669,4.853038
Entire home/apt,Amsterdam,De Baarsjes / Oud West,26,5,2,1,102,Centrally located apartment,52.363858,4.863847
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,2,1,90,Bright cozy appartement @ Amsterdam,52.343339,4.909874
Entire home/apt,Amsterdam,Buitenveldert / Zuidas,25,4.5,4,2,90,Spacious 65m2 appartment,52.324977,4.884253
Entire home/apt,Amsterdam,Bijlmer Centrum,28,4.5,2,0,96,"Cosy, Clean, Cute 2BD ",52.321186,4.952329
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,3,5,2,1,102,"Very nice, clean and cozy apartment @AmsterdamEast",52.363177,4.932788
Entire home/apt,Amsterdam,Bijlmer Oost,1,0,4,3,96,Wow! Laid back townhouse with terrace and garden,52.317973,4.965312
Entire home/apt,Amsterdam,Westerpark,0,0,2,1,90,Feel at home in our little palace!,52.380827,4.870227
Entire home/apt,Amsterdam,Centrum West,6,5,4,1,90,Apartment Central Amsterdam,52.378811,4.885452
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,2,0,103,Studio in the heart of De Pijp!,52.356456,4.897412
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,11,5,2,1,96,Light 1 bed appt in trendy De Pijp,52.35562,4.894766
Entire home/apt,Amsterdam,Bos en Lommer,5,4.5,4,0,84,REMBRANDTPARK APARTMENT PENTHOUSE VIEWS OVER DAM,52.377657,4.848016
Entire home/apt,Amsterdam,Westerpark,29,4.5,2,1,90,Light airy apartment with balcony,52.384011,4.87206
Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0,2,1,95,Lovely 2p a'dam apt. with bath!,52.372233,4.860416
Entire home/apt,Amsterdam,Centrum Oost,4,5,2,1,98,Beautiful apartment in the city centre + breakfast,52.367748,4.901119
Entire home/apt,Amsterdam,Noord Oost,57,5,3,1,96,"Wooden Garden House, the Mulberry",52.414879,5.026701
Entire home/apt,Amsterdam,Westerpark,7,4.5,2,1,91,Industrial and Minimal Palace,52.394459,4.877692
Entire home/apt,Amsterdam,Westerpark,4,5,4,2,72,Bright & modern apartment (80m) next to Westerpark,52.392916,4.875668
Entire home/apt,Amsterdam,Centrum West,2,0,2,0,75,,52.370532,4.881324
Entire home/apt,Amsterdam,Watergraafsmeer,7,4.5,3,1,71,Private apartment in Amsterdam East,52.339005,4.944442
Entire home/apt,Amsterdam,Oud Oost,1,0,4,2,71,"Spacious and bright apartment, Amsterdam East",52.353417,4.918283
Entire home/apt,Amsterdam,Oud Noord,0,0,4,1,78,"Amsterdam, Sailing Yacht + Free Parking",52.389316,4.939898
Entire home/apt,Amsterdam,Slotervaart,0,0,2,1,78,Big Apartment with Sunny Balcony,52.364577,4.840726
Entire home/apt,Amsterdam,Osdorp,4,4.5,2,1,72,Welcome Home!,52.35756,4.788377
Entire home/apt,Amsterdam,Bijlmer Oost,33,5,4,1,73,Spacious & Furnished apartment,52.320221,4.983094
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,1,0,2,0,78,"Comfortable, clean, close to centre",52.364098,4.939968
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,3,5,2,1,66,Lovely Apartment,52.351007,4.847405
Entire home/apt,Amsterdam,Osdorp,19,5,2,1,68,Gezellig appartement in Amsterdam,52.364649,4.799914
Entire home/apt,Amsterdam,Bos en Lommer,278,5,2,0,66,Small but complete Studio for rent!,52.376583,4.845293
Entire home/apt,Amsterdam,De Baarsjes / Oud West,4,5,4,2,73,"CatLover Special! 11dys, whole apartment discount",52.36364,4.869863
Entire home/apt,Amsterdam,De Baarsjes / Oud West,48,5,2,1,67,Charming apartment in trendy location!,52.369537,4.868457
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,1,0,2,0,75,Bright and cozy studio near all big museums,52.353951,4.884954
Entire home/apt,Amsterdam,Westerpark,3,5,2,1,72,Very cosy and warm apartment,52.392314,4.872979
Entire home/apt,Amsterdam,Bijlmer Centrum,0,0,4,0,60,Studio nearby centrum (10mn),52.322588,4.952992
Entire home/apt,Amsterdam,Oud Noord,11,3.5,3,1,60,Boat for Rent during Sail 2015,52.396745,4.915302
Entire home/apt,Amsterdam,De Aker / Nieuw Sloten,37,4.5,4,1,60,"Cozy flat close to center, parking!",52.346686,4.808542
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,12,4.5,2,0,57,Lovely studio 12 min from Amsterdam Centraal,52.372471,4.96824
Entire home/apt,Amsterdam,De Baarsjes / Oud West,5,4.5,2,1,58,Quiet 65m2 apt close to the centre,52.362129,4.851974
Entire home/apt,Amsterdam,Centrum Oost,3,5,2,0,60,Cozy Studio Centre Amsterdam,52.370596,4.930566
Entire home/apt,Amsterdam,Watergraafsmeer,41,4.5,2,0,58,Amstel Appartment,52.340453,4.919123
Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,195,4.5,2,1,42,"Cosy Studio, with outdoor Swimming",52.374983,4.942076
Entire home/apt,Amsterdam,Centrum West,24,4.5,2,0,43,Comlete independent quiet studio,52.371001,4.897576
Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0,2,1,60,Amsterdam,52.377842,4.824746
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,2,1,57,Staying at Jenny Marieke's  Roerstraat appartment,52.344116,4.897156
Entire home/apt,Amsterdam,Oud Oost,0,0,2,1,60,Weesperzijdebuurt,52.351742,4.911915
Entire home/apt,Amsterdam,Westerpark,0,0,2,1,6000,"Zonnige woonboot,centraal en rustig",52.37399,4.873597
Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0,2,2,1799,Welkom in noordzijde,52.371958,4.821506
Entire home/apt,Amsterdam,Centrum Oost,0,0,16,1,3770,One public bedroom,52.371641,4.901265
Entire home/apt,Amsterdam,Centrum West,6,5,16,7,1920,AmsterdamBase,52.372837,4.8985
Entire home/apt,Amsterdam,Centrum West,0,0,4,3,1558,"Ultra luxe dreamboat, unforgettable stay promised!",52.372894,4.899198
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0,5,3,1078,Amazing family villa - best area of Amsterdam!,52.346983,4.879335
Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0,2,2,1079,Woning te huur voor 6 maanden!,52.372304,4.819736
Entire home/apt,Amsterdam,Centrum West,0,0,6,3,1134,Amsterdam City Center Luxurious Canal House,52.36837,4.881669
Entire home/apt,Amsterdam,De Baarsjes / Oud West,7,5,6,3,1140,"Canal house (275m2) in a former parish, big garden",52.371028,4.873445
Entire home/apt,Amsterdam,Centrum West,2,0,12,7,1079,Dutch Together in Amsterdam Center,52.372797,4.899098
Entire home/apt,Amsterdam,Westerpark,3,4.5,10,5,1200,Spacious apartment in Amsterdam,52.374641,4.87443
Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0,6,2,1386,"Bellevue apartment, 2 bedrooms, sleeps 6",52.37894,4.801897
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0,5,5,1319,Pure luxe in Amsterdam old south,52.353241,4.871174
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,13,5,8,5,1170,Schitterend Herenhuis op A-locatie!,52.354741,4.871979
Entire home/apt,Amsterdam,Centrum West,0,0,4,0,1199,Charming Studio in City Centre,52.371542,4.892015
Entire home/apt,Amsterdam,Centrum Oost,2,0,4,2,1200,Large design apt. Central location,52.35895,4.898257
Entire home/apt,Amsterdam,Centrum West,5,4.5,10,5,1199,AmsterdamStag Stay,52.374067,4.90089
Entire home/apt,Amsterdam,Centrum West,1,0,5,3,1050,"Ground floor, canal view, Sleep 5, families only.",52.366011,4.880759
Entire home/apt,Amsterdam,Centrum West,22,5,7,4,1122,Industrial loft  on edge Jordaan/Prinseneiland,52.386831,4.884778
Entire home/apt,Amsterdam,De Baarsjes / Oud West,3,4.5,2,1,1343,Beautiful canalhouse for couples near Leidse plein,52.367416,4.876162
Entire home/apt,Amsterdam,Centrum Oost,8,5,4,3,1428,Luxurious 3br 110m² houseboat in Amsterdam Centre!,52.37202,4.903547
Entire home/apt,Amsterdam,Centrum Oost,0,0,4,1,786,City Penthouse - Ultimate Luxury,52.364323,4.898464
Entire home/apt,Amsterdam,Centrum Oost,3,4.5,4,2,780,"Sunny, Family, Design Apartment",52.368427,4.931463
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,27,5,10,6,1016,Luxurious Family Residence in the Museum Area,52.354353,4.883591
Entire home/apt,Amsterdam,Westerpark,1,0,6,3,810,Stunning spacious Penthouse/Loft!,52.377234,4.873943
Entire home/apt,Amsterdam,Centrum West,3,5,8,4,839,Dutch HQ right in the city center,52.37424,4.899472
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0,7,4,540,Amsterdam South Apartment,52.351294,4.875999
Entire home/apt,Amsterdam,Centrum West,0,0,4,3,540,The Drake at Prinsengracht,52.372,4.883378
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,17,4.5,8,4,588,South Park Apartment,52.353612,4.888399
Entire home/apt,Amsterdam,Oud Noord,91,4.5,12,6,540,"Cosy, Classic Sailing Ship ""de Lis""",52.384044,4.904894
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,8,4,599,Amsterdam center apartment 4 bedrooms,52.353966,4.892481
Entire home/apt,Amsterdam,De Baarsjes / Oud West,15,5,10,6,720,Gorgeous spacious house Amsterdam next Vondelpark,52.360918,4.870737
Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0,4,2,540,Large & stylish apartment/top location/roofterrace,52.363936,4.875906
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0,6,4,540,Bright design apartment with garden & bikes,52.344178,4.862918
Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0,6,3,540,"Amazing loft, next to Vondelpark and City center.",52.361857,4.87117
Entire home/apt,Amsterdam,Centrum Oost,0,0,4,2,521,Comfortable 2 bedroom apartment in Amsterdam,52.361607,4.892251
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,6,3.5,4,4,654,Best apartment in the Pijp!,52.355421,4.901771
Entire home/apt,Amsterdam,Centrum Oost,13,5,7,4,540,Double canal house Amsterdam Centre,52.362759,4.91149
Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0,4,3,540,"Marvelous appartment, A location.  Dutch design",52.366248,4.877597
Entire home/apt,Amsterdam,De Baarsjes / Oud West,14,5,6,3,599,Beautiful home in central Amsterdam,52.36612,4.876851
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0,6,4,599,At home in the Van Breestraat,52.356736,4.869718
Entire home/apt,Amsterdam,De Baarsjes / Oud West,26,5,6,3,599,Huge 2 floor apartment with garden!,52.369917,4.872633
Entire home/apt,Amsterdam,Westerpark,2,0,4,3,540,"Grand house on canal, Center",52.373949,4.87422
Entire home/apt,Amsterdam,Oud Noord,23,4.5,14,7,540,Comfortable and Bright Sailing Ship,52.401061,4.897389
